RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3117,1543528056.472636,0.10009002685546875,12.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21254240401178195,-1.0
3118,1543528056.57286,0.10022401809692383,12.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1181148667913794,-1.0
3119,1543528056.673546,0.10068607330322266,12.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32832019257462003,-1.0
3120,1543528056.773561,0.10001492500305176,12.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11793933043479131,-1.0
3121,1543528056.87359,0.10002899169921875,12.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16009621912535696,-1.0
3122,1543528056.97378,0.1001899242401123,11.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21258950307699145,-1.0
3123,1543528057.075123,0.10134315490722656,12.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21313848781372569,-1.0
3124,1543528057.175119,0.09999585151672363,12.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21250231892141955,-1.0
3125,1543528057.274741,0.09962201118469238,12.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09962271261653553,-1.0
3126,1543528057.374751,0.10001015663146973,12.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10001090983657214,-1.0
3127,1543528057.475309,0.10055780410766602,11.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3282810105454074,-1.0
3128,1543528057.575308,0.09999918937683105,12.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3281103471797877,-1.0
3129,1543528057.675889,0.10058093070983887,12.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32828815398280203,-1.0
3130,1543528057.775891,0.10000205039978027,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4487839070048898,-1.0
3131,1543528057.875942,0.1000509262084961,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10005093814663912,-1.0
3132,1543528057.976464,0.10052204132080078,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3882394914749784,-1.0
3133,1543528058.076501,0.1000368595123291,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1000380360786673,-1.0
3134,1543528058.176507,0.100006103515625,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1000061082449929,-1.0
3135,1543528058.277102,0.10059499740600586,13.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5714244922114631,-1.0
3136,1543528058.377112,0.10000991821289062,14.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1600853711574274,-1.0
3137,1543528058.477093,0.09998106956481934,14.1875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16006628346897336,-1.0
3138,1543528058.577683,0.10058999061584473,13.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32829097915864536,-1.0
3139,1543528058.677683,0.10000014305114746,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16007928201488017,-1.0
3140,1543528058.777671,0.09998798370361328,14.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1600706001518198,-1.0
3141,1543528058.878315,0.10064387321472168,13.8125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3283075835351839,-1.0
3142,1543528058.978207,0.09989213943481445,13.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11783571031117972,-1.0
3143,1543528059.078694,0.10048699378967285,13.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26944014135349104,-1.0
3144,1543528059.178504,0.09980988502502441,13.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2691885428932438,-1.0
3145,1543528059.278707,0.10020303726196289,13.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.44882853434825615,-1.0
3146,1543528059.378909,0.10020208358764648,13.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16020442427166356,-1.0
3147,1543528059.479121,0.10021185874938965,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.212599780643258,-1.0
3148,1543528059.579597,0.10047602653503418,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.633024882364736,-1.0
3149,1543528059.679525,0.09992790222167969,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6329382956360663,-1.0
3150,1543528059.779746,0.10022115707397461,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16021662311899687,-1.0
3151,1543528059.879934,0.10018801689147949,13.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3281674722255682,-1.0
3152,1543528059.980564,0.10063004493713379,13.3125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26949323058815916,-1.0
3153,1543528060.080556,0.0999917984008789,12.9375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881027790496778,-1.0
3154,1543528060.180622,0.1000661849975586,13.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6947441953074033,-1.0
