RowId , Time  , TimeInterval  , FDA3:3470  , FDA3:641  , FDA3:3675  , FDA3:5369  , FDA3:5366  , FDA3:5367  , FDA3:5368  , Difference  , Label 
2966,1543528197.041031,0.10003995895385742,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10003996815881265,-1.0
2967,1543528197.141071,0.10004019737243652,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10004019737272063,-1.0
2968,1543528197.242049,0.10097789764404297,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10098225138315242,-1.0
2969,1543528197.341028,0.09897899627685547,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09899917833320392,-1.0
2970,1543528197.441027,0.09999895095825195,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000415241530214,-1.0
2971,1543528197.642042,0.20101499557495117,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2249694861886843,-1.0
2972,1543528197.74102,0.09897804260253906,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14215552289420302,-1.0
2973,1543528197.841018,0.09999799728393555,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000319879058911,-1.0
2974,1543528197.941012,0.09999394416809082,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999394425023453,-1.0
2975,1543528198.041014,0.10000205039978027,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1000020507283285,-1.0
2976,1543528198.141007,0.09999299049377441,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999299090421267,-1.0
2977,1543528198.241011,0.10000395774841309,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000395834979266,-1.0
2978,1543528198.34101,0.09999918937683105,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999918949051881,-1.0
2979,1543528198.441002,0.0999917984008789,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999179867403393,-1.0
2980,1543528198.541005,0.10000300407409668,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000300470191338,-1.0
2981,1543528198.740996,0.19999098777770996,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22359336322310233,-1.0
2982,1543528198.840994,0.09999799728393555,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14141498367813093,-1.0
2983,1543528198.941036,0.10004210472106934,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10004211444430497,-1.0
2984,1543528199.040997,0.0999610424041748,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0999610752724702,-1.0
2985,1543528199.140997,0.09999990463256836,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999991218393925,-1.0
