RowId , Time  , TimeInterval  , FE6E:1592  , FE6E:1593  , FE6E:1594  , FE6E:1595  , Difference  , Label 
20171,1543528163.92747,0.02007603645324707,46.375,46.0,50.0,49.75,1.6771712552621811,-1.0
20172,1543528163.947468,0.01999807357788086,46.25,46.5,50.125,50.0,0.5866429314540799,-1.0
20173,1543528163.967533,0.0200650691986084,46.5,46.25,49.875,50.25,0.5004024495247382,-1.0
20174,1543528163.988669,0.021135807037353516,46.75,46.5,49.125,49.875,0.9102597809519212,-1.0
20175,1543528164.007669,0.01900005340576172,46.75,46.625,49.5,48.875,1.075460628509011,-1.0
20176,1543528164.027731,0.020061969757080078,47.0,47.25,50.5,49.875,1.5663743519021471,-1.0
20177,1543528164.047763,0.020032167434692383,47.0,47.0,50.875,50.375,0.673443604632422,-1.0
20178,1543528164.067847,0.020083904266357422,47.25,46.75,50.5,51.5,1.2375998407753936,-1.0
20179,1543528164.088931,0.021084070205688477,47.25,46.875,50.375,51.875,0.4151150904849697,-1.0
20180,1543528164.107886,0.018954992294311523,46.75,47.125,51.375,51.625,1.1727590650707544,-1.0
20181,1543528164.127966,0.020079851150512695,46.875,47.75,51.625,51.25,0.7808837722284112,-1.0
20182,1543528164.147972,0.020006179809570312,48.25,48.125,51.75,51.0,1.4525065413477625,-1.0
20183,1543528164.168541,0.02056884765625,48.25,47.75,51.375,52.375,1.4738719055905136,-1.0
20184,1543528164.189701,0.021160125732421875,47.875,48.0,51.5,52.75,0.599852565661576,-1.0
20185,1543528164.208545,0.018843889236450195,48.25,48.25,52.125,52.125,0.9923383783332482,-1.0
20186,1543528164.228553,0.020008087158203125,48.375,48.375,52.0,51.875,0.33132563877329396,-1.0
20187,1543528164.248539,0.01998591423034668,48.5,48.5,52.125,51.75,0.25079760218004776,-1.0
20188,1543528164.26854,0.020000934600830078,48.375,48.75,52.75,53.0,1.425359616942517,-1.0
20189,1543528164.289677,0.021136999130249023,49.375,48.375,52.75,53.25,1.0970747756533494,-1.0
20190,1543528164.309667,0.019990205764770508,48.625,49.0,52.625,52.625,1.166094302988202,-1.0
20191,1543528164.328546,0.018878936767578125,49.375,49.25,52.5,52.25,0.8840857702577609,-1.0
20192,1543528164.348782,0.02023601531982422,48.75,49.125,52.75,52.5,0.7291511077809737,-1.0
20193,1543528164.368542,0.0197598934173584,49.625,49.375,53.375,52.625,1.1112001080273217,-1.0
20194,1543528164.38966,0.0211179256439209,49.875,49.0,53.125,54.125,1.586213356088969,-1.0
20195,1543528164.408573,0.01891303062438965,49.375,49.875,53.25,54.0,1.0233462582574122,-1.0
20196,1543528164.428637,0.020064115524291992,50.0,49.875,53.625,53.0,1.2376000540272365,-1.0
20197,1543528164.448634,0.01999688148498535,49.75,50.25,53.375,52.5,0.7183487173995236,-1.0
20198,1543528164.468743,0.020109176635742188,49.875,50.25,53.375,53.625,1.1321017584983994,-1.0
20199,1543528164.489843,0.02109980583190918,50.5,49.875,53.125,54.375,1.075498109320676,-1.0
