RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4461,1543528222.19108,0.10001897811889648,3.0,3.0,0.0,3.0,42.9062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1073979103430528,-1.0
4462,1543528222.291058,0.09997797012329102,3.0,3.0,0.0,3.0,42.9219,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10120319259603154,-1.0
4463,1543528222.391059,0.10000085830688477,3.0,3.0,0.0,3.0,42.8672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11398360489992859,-1.0
4464,1543528222.491048,0.09998917579650879,3.0,3.0,0.0,3.0,42.8047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11791558596278182,-1.0
4465,1543528222.591046,0.09999799728393555,3.0,3.0,0.0,3.0,42.7891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10120750732340263,-1.0
4466,1543528222.691046,0.09999990463256836,3.0,3.0,0.0,3.0,42.7578,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10478392496065608,-1.0
4467,1543528222.791988,0.10094189643859863,3.0,3.0,0.0,3.0,42.6875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12301318549319759,-1.0
4468,1543528222.891043,0.09905505180358887,3.0,3.0,0.0,3.0,42.8672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.2052012511425971,-1.0
4469,1543528222.991038,0.09999513626098633,3.0,3.0,0.0,3.0,42.6797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.2124997906696387,-1.0
4470,1543528223.092028,0.10098981857299805,3.0,3.0,0.0,3.0,42.7031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10367011550253524,-1.0
4471,1543528223.191062,0.09903407096862793,3.0,3.0,0.0,3.0,42.6797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.101779821975239,-1.0
4472,1543528223.29106,0.09999799728393555,3.0,3.0,0.0,3.0,42.6328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11045423764952948,-1.0
4473,1543528223.391068,0.10000801086425781,3.0,3.0,0.0,3.0,42.3594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.29111709385966766,-1.0
4474,1543528223.491301,0.10023307800292969,3.0,3.0,0.0,3.0,42.0078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.3656080969852236,-1.0
4475,1543528223.591058,0.09975695610046387,3.0,3.0,0.0,3.0,42.0781,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.12204002205217485,-1.0
4476,1543528223.691057,0.09999895095825195,3.0,3.0,0.0,3.0,42.3359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.27651525953238765,-1.0
4477,1543528223.792002,0.10094499588012695,3.0,3.0,0.0,3.0,42.2891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1112700642321801,-1.0
4478,1543528223.992003,0.20000100135803223,3.0,3.0,0.0,3.0,41.9844,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.37769641614059896,-1.0
