RowId , Time  , TimeInterval  , FCFD:5262  , FCFD:5263  , FCFD:5313  , FCFD:5314  , Difference  , Label 
2931,1543528103.129991,0.0999910831451416,-1.0,-1.0,120.3086,-1.0,13.519869800819952,-1.0
2932,1543528103.229994,0.10000300407409668,-1.0,-1.0,133.7578,-1.0,13.449571786527855,-1.0
2933,1543528103.331141,0.10114693641662598,-1.0,-1.0,149.75,-1.0,15.99251990310869,-1.0
2934,1543528103.431015,0.09987401962280273,-1.0,-1.0,150.5273,-1.0,0.7836910935520289,-1.0
2935,1543528103.529985,0.09896993637084961,-1.0,-1.0,118.957,-1.0,31.570455143308784,-1.0
2936,1543528103.629983,0.09999799728393555,-1.0,-1.0,130.8672,-1.0,11.91061982838719,-1.0
2937,1543528103.729977,0.09999394416809082,-1.0,-1.0,148.4375,-1.0,17.570584534354197,-1.0
2938,1543528103.829983,0.100006103515625,-1.0,-1.0,124.2773,-1.0,24.16040697630916,-1.0
2939,1543528103.930985,0.10100197792053223,-1.0,-1.0,106.7383,-1.0,17.539290846305892,-1.0
2940,1543528104.030005,0.09902000427246094,-1.0,-1.0,139.8672,-1.0,33.129048040948376,-1.0
2941,1543528104.131001,0.10099601745605469,-1.0,-1.0,150.6875,-1.0,10.820771515477542,-1.0
2942,1543528104.229994,0.09899306297302246,-1.0,-1.0,117.0977,-1.0,33.58994593145906,-1.0
2943,1543528104.329995,0.10000085830688477,-1.0,-1.0,100.7188,-1.0,16.379205304205502,-1.0
2944,1543528104.430999,0.10100412368774414,-1.0,-1.0,118.5,-1.0,17.78148689731945,-1.0
2945,1543528104.529994,0.09899497032165527,-1.0,-1.0,122.0977,-1.0,3.5990622849356546,-1.0
2946,1543528104.629988,0.09999394416809082,-1.0,-1.0,135.1992,-1.0,13.101881621996846,-1.0
2947,1543528104.729993,0.1000051498413086,-1.0,-1.0,127.3789,-1.0,7.820939401383965,-1.0
2948,1543528104.829979,0.09998583793640137,-1.0,-1.0,110.0586,-1.0,17.32058859444912,-1.0
2949,1543528104.93199,0.10201096534729004,-1.0,-1.0,120.7969,-1.0,10.738784718402359,-1.0
2950,1543528105.030939,0.09894919395446777,-1.0,-1.0,140.6992,-1.0,19.90254620915194,-1.0
2951,1543528105.131872,0.10093283653259277,-1.0,-1.0,145.6094,-1.0,4.911237666039837,-1.0
2952,1543528105.231026,0.09915399551391602,-1.0,-1.0,145.4297,-1.0,0.20524806723022332,-1.0
2953,1543528105.331233,0.10020709037780762,-1.0,-1.0,130.5273,-1.0,14.902736940910243,-1.0
2954,1543528105.431895,0.1006619930267334,-1.0,-1.0,126.3398,-1.0,4.188709740931751,-1.0
2955,1543528105.530762,0.09886693954467773,-1.0,-1.0,141.8984,-1.0,15.558914224776494,-1.0
2956,1543528105.63076,0.09999799728393555,-1.0,-1.0,145.6484,-1.0,3.7513332135058874,-1.0
2957,1543528105.730759,0.09999895095825195,-1.0,-1.0,145.4492,-1.0,0.22289107248534634,-1.0
2958,1543528105.830756,0.09999704360961914,-1.0,-1.0,129.5391,-1.0,15.910414244096044,-1.0
2959,1543528105.93175,0.10099411010742188,-1.0,-1.0,123.7969,-1.0,5.743088162688951,-1.0
2960,1543528106.03002,0.09826993942260742,-1.0,-1.0,137.5469,-1.0,13.750351428312662,-1.0
2961,1543528106.130019,0.09999895095825195,-1.0,-1.0,137.0391,-1.0,0.5175554266681439,-1.0
2962,1543528106.232001,0.10198211669921875,-1.0,-1.0,130.5977,-1.0,6.442207559918622,-1.0
2963,1543528106.330002,0.09800100326538086,-1.0,-1.0,132.3672,-1.0,1.7722162102591128,-1.0
2964,1543528106.431005,0.10100293159484863,-1.0,-1.0,125.1992,-1.0,7.168712199814157,-1.0
2965,1543528106.53001,0.09900498390197754,-1.0,-1.0,124.4688,-1.0,0.7370821790224064,-1.0
2966,1543528106.630072,0.10006213188171387,-1.0,-1.0,129.3594,-1.0,4.891623647399551,-1.0
2967,1543528106.730007,0.09993481636047363,-1.0,-1.0,109.9375,-1.0,19.42215710454763,-1.0
2968,1543528106.830997,0.10099005699157715,-1.0,-1.0,103.418,-1.0,6.5202822297155105,-1.0
2969,1543528106.931055,0.10005807876586914,-1.0,-1.0,107.8164,-1.0,4.399538049353556,-1.0
2970,1543528107.030002,0.09894704818725586,-1.0,-1.0,109.9297,-1.0,2.115615428837174,-1.0
2971,1543528107.130992,0.10098981857299805,-1.0,-1.0,109.3789,-1.0,0.559985496567769,-1.0
2972,1543528107.229994,0.09900212287902832,-1.0,-1.0,112.8086,-1.0,3.4311291816643545,-1.0
2973,1543528107.330987,0.10099291801452637,-1.0,-1.0,120.2695,-1.0,7.461583769063663,-1.0
2974,1543528107.431034,0.10004711151123047,-1.0,-1.0,122.5273,-1.0,2.2600157431026218,-1.0
2975,1543528107.529992,0.09895801544189453,-1.0,-1.0,125.2383,-1.0,2.7128057200895235,-1.0
2976,1543528107.629991,0.09999895095825195,-1.0,-1.0,128.5078,-1.0,3.271029061891617,-1.0
2977,1543528107.729986,0.09999489784240723,-1.0,-1.0,129.1094,-1.0,0.6098537034493846,-1.0
2978,1543528107.829985,0.09999895095825195,-1.0,-1.0,129.5469,-1.0,0.44878284304235455,-1.0
2979,1543528107.930984,0.10099911689758301,-1.0,-1.0,129.4492,-1.0,0.14052441761487028,-1.0
2980,1543528108.029999,0.0990149974822998,-1.0,-1.0,131.0469,-1.0,1.6007664403204749,-1.0
2981,1543528108.13,0.10000109672546387,-1.0,-1.0,129.4688,-1.0,1.5812655696428835,-1.0
2982,1543528108.229994,0.09999394416809082,-1.0,-1.0,134.0898,-1.0,4.622081759220788,-1.0
2983,1543528108.329999,0.10000491142272949,-1.0,-1.0,139.957,-1.0,5.86805221708438,-1.0
2984,1543528108.431063,0.10106396675109863,-1.0,-1.0,142.9688,-1.0,3.013495360370349,-1.0
2985,1543528108.529981,0.09891796112060547,-1.0,-1.0,139.418,-1.0,3.552178206167631,-1.0
2986,1543528108.630123,0.10014200210571289,-1.0,-1.0,117.1289,-1.0,22.289324994913198,-1.0
2987,1543528108.72999,0.09986710548400879,-1.0,-1.0,114.5586,-1.0,2.5722394142703595,-1.0
2988,1543528108.829977,0.09998703002929688,-1.0,-1.0,146.8398,-1.0,32.281354848589544,-1.0
2989,1543528108.930979,0.10100197792053223,-1.0,-1.0,155.2695,-1.0,8.43030512613055,-1.0
2990,1543528109.030008,0.0990290641784668,-1.0,-1.0,150.1797,-1.0,5.090763664514458,-1.0
2991,1543528109.130998,0.10098981857299805,-1.0,-1.0,151.9375,-1.0,1.760699755214731,-1.0
2992,1543528109.229992,0.09899401664733887,-1.0,-1.0,155.5195,-1.0,3.5833682197839023,-1.0
2993,1543528109.329993,0.10000109672546387,-1.0,-1.0,153.1992,-1.0,2.3224541596243817,-1.0
2994,1543528109.430989,0.10099601745605469,-1.0,-1.0,146.4688,-1.0,6.731157801255984,-1.0
2995,1543528109.529985,0.09899592399597168,-1.0,-1.0,144.2578,-1.0,2.2132160295239136,-1.0
2996,1543528109.629985,0.10000014305114746,-1.0,-1.0,143.5781,-1.0,0.6870175595035083,-1.0
2997,1543528109.729983,0.09999799728393555,-1.0,-1.0,145.6289,-1.0,2.0532365278908626,-1.0
2998,1543528109.829977,0.09999394416809082,-1.0,-1.0,146.8398,-1.0,1.2150216454395955,-1.0
2999,1543528109.930982,0.10100507736206055,-1.0,-1.0,145.0273,-1.0,1.8153124519055257,-1.0
3000,1543528110.031169,0.10018682479858398,-1.0,-1.0,145.9766,-1.0,0.954572448481763,-1.0
3001,1543528110.130013,0.09884405136108398,-1.0,-1.0,147.418,-1.0,1.4447857659632526,-1.0
3002,1543528110.229983,0.09997010231018066,-1.0,-1.0,146.2969,-1.0,1.1255489768760294,-1.0
3003,1543528110.329991,0.10000801086425781,-1.0,-1.0,146.1289,-1.0,0.19551369178164,-1.0
3004,1543528110.430986,0.10099482536315918,-1.0,-1.0,147.0,-1.0,0.8769356524586125,-1.0
3005,1543528110.52998,0.09899401664733887,-1.0,-1.0,143.7188,-1.0,3.282693598033111,-1.0
3006,1543528110.629974,0.09999394416809082,-1.0,-1.0,139.0391,-1.0,4.6807683000470455,-1.0
3007,1543528110.729976,0.10000205039978027,-1.0,-1.0,143.4375,-1.0,4.399536676759265,-1.0
3008,1543528110.829976,0.10000014305114746,-1.0,-1.0,155.3867,-1.0,11.9496184319255,-1.0
3009,1543528110.93097,0.10099387168884277,-1.0,-1.0,154.5,-1.0,0.8924335491314134,-1.0
3010,1543528111.03,0.0990300178527832,-1.0,-1.0,141.3281,-1.0,13.172272408781929,-1.0
3011,1543528111.130994,0.10099411010742188,-1.0,-1.0,135.4766,-1.0,5.852371819863717,-1.0
3012,1543528111.230996,0.10000181198120117,-1.0,-1.0,132.1094,-1.0,3.368684785944668,-1.0
3013,1543528111.329994,0.0989980697631836,-1.0,-1.0,143.8164,-1.0,11.707418614934511,-1.0
3014,1543528111.430997,0.10100293159484863,-1.0,-1.0,154.957,-1.0,11.14105802747934,-1.0
3015,1543528111.52999,0.09899306297302246,-1.0,-1.0,151.5898,-1.0,3.3686554448457082,-1.0
3016,1543528111.629987,0.09999704360961914,-1.0,-1.0,153.8281,-1.0,2.2405328175922405,-1.0
3017,1543528111.729985,0.09999799728393555,-1.0,-1.0,151.8594,-1.0,1.9712380093387396,-1.0
3018,1543528111.830982,0.1009969711303711,-1.0,-1.0,143.3398,-1.0,8.520198679967868,-1.0
3019,1543528111.93098,0.09999799728393555,-1.0,-1.0,142.5,-1.0,0.8457331951682743,-1.0
3020,1543528112.029851,0.09887099266052246,-1.0,-1.0,144.418,-1.0,1.9205469906589432,-1.0
3021,1543528112.130846,0.10099506378173828,-1.0,-1.0,147.3477,-1.0,2.931441045729282,-1.0
3022,1543528112.230852,0.1000058650970459,-1.0,-1.0,149.6992,-1.0,2.3536257989680065,-1.0
3023,1543528112.329844,0.09899210929870605,-1.0,-1.0,149.707,-1.0,0.09930410567658159,-1.0
3024,1543528112.430887,0.1010429859161377,-1.0,-1.0,146.957,-1.0,2.751856444493017,-1.0
3025,1543528112.52985,0.09896302223205566,-1.0,-1.0,143.0586,-1.0,3.8996564676927736,-1.0
3026,1543528112.62984,0.0999898910522461,-1.0,-1.0,143.5664,-1.0,0.5175518068485399,-1.0
3027,1543528112.729831,0.0999910831451416,-1.0,-1.0,149.3164,-1.0,5.750869344430454,-1.0
3028,1543528112.829835,0.10000395774841309,-1.0,-1.0,155.3477,-1.0,6.032129017331385,-1.0
3029,1543528112.930827,0.10099196434020996,-1.0,-1.0,154.7773,-1.0,0.5792723996690392,-1.0
3030,1543528113.029991,0.09916400909423828,-1.0,-1.0,153.6797,-1.0,1.1020719586851049,-1.0
3031,1543528113.129984,0.09999299049377441,-1.0,-1.0,147.8672,-1.0,5.813360089944373,-1.0
3032,1543528113.229986,0.10000205039978027,-1.0,-1.0,146.4492,-1.0,1.4215218641182625,-1.0
3033,1543528113.330006,0.10001993179321289,-1.0,-1.0,150.6094,-1.0,4.161402170792399,-1.0
3034,1543528113.430984,0.10097813606262207,-1.0,-1.0,148.6797,-1.0,1.9323404441552454,-1.0
3035,1543528113.529978,0.09899401664733887,-1.0,-1.0,138.3594,-1.0,10.32077496325067,-1.0
